name,year_of_release,developer,worldwide_sales,critic_score,user_score,critic_count,user_count
Archer Maclean's Mercury,2005,Awesome Studios,0.55,75.0,6.6,39.0,21.0
Arctic Thunder,2001,Inland Productions,0.36000000000000004,45.0,5.3,23.0,10.0
Area 51,2005,Midway Studios - Austin,0.74,73.5,8.25,80.0,68.0
Arena Football,2006,EA Tiburon,0.7200000000000001,65.5,8.55,35.0,24.0
Arkanoid DS,2007,Taito Corporation,0.06,61.0,7.0,29.0,5.0
ArmA II,2009,Bohemia Interactive,0.13999999999999999,77.0,7.5,38.0,589.0
ArmA III,2013,Bohemia Interactive,0.11,74.0,7.4,38.0,866.0
Armed and Dangerous,2003,Planet Moon Studios,0.12,79.0,7.2,41.0,15.0
Armored Core 2,2000,From Software,0.8,78.0,8.4,23.0,19.0
Armored Core 2: Another Age,2001,From Software,0.41000000000000003,75.0,8.8,16.0,30.0
Armored Core 3,2002,From Software,0.6799999999999999,74.0,9.0,23.0,33.0
Armored Core 3 Portable,2009,From Software,0.08,43.0,6.7,6.0,6.0
Armored Core 4,2006,From Software,0.44,65.0,7.0,67.0,56.0
Armored Core V,2012,From Software,0.6000000000000001,66.5,7.25,63.0,84.0
Armored Core: For Answer,2008,From Software,0.34,63.0,7.65,44.0,69.0
Armored Core: Last Raven,2005,From Software,0.18,59.0,8.9,16.0,14.0
Armored Core: Nexus,2004,From Software,0.27,73.0,8.7,19.0,7.0
Armored Core: Nine Breaker,2004,From Software,0.06999999999999999,57.0,8.2,25.0,5.0
Armored Core: Verdict Day,2013,From Software,0.12,66.0,7.4,18.0,28.0
Army Corps of Hell,2011,"Entersphere, Inc.",0.1,57.0,6.6,43.0,28.0
Army Men: Air Attack 2,2000,3DO,0.30000000000000004,74.0,5.3,8.0,4.0
Army Men: Green Rogue,2001,3DO,0.13,39.0,3.8,13.0,4.0
Army Men: Major Malfunction,2006,Team 17,0.01,36.0,4.0,6.0,5.0
Army Men: Sarge's Heroes 2,2000,3DO,0.43,51.0,5.949999999999999,23.0,12.0
Army Men: Sarge's War,2004,3DO,0.15,56.0,6.7,11.0,7.0
Army of Two,2008,EA Montreal,2.8099999999999996,73.0,7.449999999999999,119.0,351.0
Army of Two: The 40th Day,2010,"Buzz Monkey, EA Montreal",2.12,65.33333333333333,6.766666666666667,146.0,246.0
Army of Two: The Devil's Cartel,2013,Visceral Games,0.53,56.0,6.45,82.0,295.0
Arslan: The Warriors of Legend,2015,Omega Force,0.09,69.0,6.6,43.0,23.0
Art Academy,2010,Headstrong Games,2.5199999999999996,75.0,8.0,15.0,5.0
Art Academy: Home Studio,2015,Headstrong Games,0.01,82.0,8.3,9.0,20.0
Art Academy: Lessons for Everyone,2012,"Nintendo, Headstrong Games",0.47000000000000003,81.0,7.6,14.0,22.0
Art of Fighting Anthology,2006,SNK Playmore,0.05,60.0,7.0,19.0,4.0
Arx Fatalis,2003,Arkane Studios,0.05,71.0,8.2,31.0,6.0
Asphalt 3D,2011,Gameloft,0.49000000000000005,43.0,4.4,37.0,24.0
Asphalt: Injection,2011,Ubisoft,0.22,49.0,4.8,33.0,28.0
Asphalt: Urban GT,2004,Gameloft,0.5900000000000001,60.0,7.5,38.0,13.0
Assassin's Creed,2007,Ubisoft Montreal,10.370000000000001,81.0,7.5,117.0,1843.0
Assassin's Creed Chronicles,2016,Climax Studios,0.07,70.0,8.0,6.0,24.0
Assassin's Creed Chronicles: China,2015,"Climax Group, Climax Studios",0.04,69.0,6.4,44.0,83.0
Assassin's Creed II,2009,Ubisoft Montreal,11.34,89.0,8.1,174.0,4118.0
Assassin's Creed II: Discovery,2009,Griptonite Games,0.29000000000000004,69.0,7.3,20.0,22.0
Assassin's Creed III,2012,Ubisoft,13.010000000000002,83.5,6.725,149.0,4208.0
Assassin's Creed III: Liberation,2012,Ubisoft,1.31,70.0,7.2,71.0,318.0
Assassin's Creed IV: Black Flag,2013,Ubisoft,10.819999999999999,85.4,7.840000000000001,115.0,4748.0
Assassin's Creed Syndicate,2015,Ubisoft Quebec,4.9,76.0,6.266666666666667,122.0,2265.0
Assassin's Creed The Ezio Collection,2016,Ubisoft Montreal,0.28,73.0,7.5,45.0,73.0
Assassin's Creed: Altair's Chronicles,2008,Gameloft,0.04,58.0,6.3,30.0,30.0
Assassin's Creed: Bloodlines,2009,Griptonite Games,1.23,63.0,7.2,38.0,69.0
Assassin's Creed: Brotherhood,2010,Ubisoft Montreal,6.91,89.0,8.233333333333333,164.0,2586.0
Assassin's Creed: Revelations,2011,Ubisoft Montreal,9.149999999999999,80.0,7.366666666666667,136.0,1948.0
Assassin's Creed: Rogue,2014,Ubisoft,2.37,72.66666666666667,7.433333333333334,110.0,972.0
Assassin's Creed: Unity,2014,"Ubisoft, Ubisoft Montreal",8.01,70.66666666666667,4.0,109.0,4518.0
Assetto Corsa,2016,Kunos Simulazioni,0.07,68.0,6.45,44.0,97.0
Astonishia Story,2006,Sonnori,0.03,48.0,4.9,35.0,18.0
Astro Boy,2004,Sonic Team,0.08,54.0,6.9,29.0,7.0
Astro Boy: Omega Factor,2003,Hitmaker,0.08,85.0,8.6,37.0,18.0
Astro Boy: The Video Game,2009,High Voltage Software,0.21,52.0,4.25,21.0,8.0
Asura's Wrath,2012,CyberConnect2,0.6499999999999999,71.0,6.95,93.0,300.0
Atari Anthology,2004,Digital Eclipse,0.39,66.0,4.3,12.0,6.0
Atari Classics Evolved,2007,Stainless Games,0.09,64.0,6.0,17.0,4.0
Atelier Annie: Alchemists of Sera Island,2009,Gust,0.12,70.0,6.7,11.0,15.0
Atelier Ayesha: The Alchemist of Dusk,2012,Gust,0.26,70.0,6.6,17.0,120.0
Atelier Iris 2: The Azoth Of Destiny,2005,Gust,0.060000000000000005,68.0,7.8,34.0,14.0
Atelier Iris: Eternal Mana,2004,Gust,0.16,74.0,7.7,38.0,38.0
Atelier Shallie: Alchemists of the Dusk Sea,2014,Gust,0.18,76.0,7.7,26.0,44.0
Atelier Totori: The Adventurer of Arland,2010,Gust,0.42000000000000004,74.0,6.7,19.0,109.0
Athens 2004,2004,Eurocom Entertainment Software,0.26,61.0,7.2,57.0,13.0
Atomic Betty,2005,"Big Blue Bubble Inc., Breakthrough New Media",0.03,62.0,7.5,10.0,6.0
