,name,critic_score,critic_count,user_score,user_count
230,Animal Crossing: City Folk,73.0,50.0,7.6,119.0
231,Uncharted: The Nathan Drake Collection,86.0,78.0,8.1,1264.0
233,The Legend of Zelda: The Wind Waker,96.0,80.0,8.9,968.0
234,Guitar Hero III: Legends of Rock,86.0,36.0,8.4,87.0
235,Luigi's Mansion: Dark Moon,86.0,74.0,8.4,458.0
236,Forza Motorsport 4,91.0,83.0,8.2,617.0
238,Madden NFL 2005,91.0,30.0,7.9,78.0
239,Guitar Hero III: Legends of Rock,85.0,69.0,7.9,165.0
241,Madden NFL 07,84.0,29.0,8.2,39.0
242,Halo 5: Guardians,84.0,101.0,6.4,2438.0
243,Spider-Man: The Movie,76.0,25.0,7.9,41.0
245,Call of Duty: Infinite Warfare,77.0,82.0,3.4,1129.0
246,God of War,94.0,75.0,8.9,997.0
247,Splatoon,81.0,88.0,8.5,1184.0
248,Nintendo Land,77.0,61.0,7.9,471.0
249,Tony Hawk's Pro Skater 3,97.0,34.0,7.5,298.0
250,Winning Eleven: Pro Evolution Soccer 2007,86.0,19.0,8.9,33.0
251,The Elder Scrolls IV: Oblivion,94.0,90.0,8.7,1109.0
253,Need for Speed: Most Wanted,82.0,36.0,9.1,137.0
254,Michael Jackson: The Experience,56.0,37.0,8.3,31.0
256,Resistance: Fall of Man,86.0,70.0,8.1,715.0
258,Kingdom Hearts II,87.0,64.0,9,766.0
260,Super Mario 3D World,93.0,83.0,9,1607.0
265,Fable II,89.0,95.0,6.5,2423.0
266,Namco Museum,79.0,10.0,7.3,6.0
267,Batman: Arkham Asylum,91.0,70.0,8.9,1122.0
268,Metal Gear Solid 3: Snake Eater,91.0,68.0,9.3,955.0
269,Assassin's Creed: Revelations,80.0,39.0,7.5,613.0
270,Fallout 4,88.0,39.0,6.2,1749.0
271,FIFA 14,84.0,41.0,4.2,435.0
272,Daxter,85.0,59.0,8.7,109.0
274,FIFA Soccer 06,80.0,32.0,7.8,47.0
275,EyeToy Play,80.0,32.0,7.5,22.0
276,Gran Turismo 5 Prologue,80.0,67.0,7.1,120.0
277,Assassin's Creed: Revelations,80.0,77.0,7.2,564.0
280,Street Fighter IV,94.0,61.0,7.3,330.0
283,Madden NFL 2003,95.0,25.0,7.7,65.0
284,Half-Life,96.0,24.0,9.1,3161.0
288,World of Warcraft: The Burning Crusade,91.0,46.0,7.9,785.0
289,Battlefield 1,88.0,31.0,8.4,809.0
290,God of War II,93.0,70.0,8.9,709.0
292,Fallout: New Vegas,84.0,81.0,8.1,769.0
293,Forza Motorsport 2,90.0,66.0,8.3,381.0
294,Carnival Games,56.0,27.0,6,44.0
295,Watch Dogs,80.0,80.0,6.3,2996.0
297,Tekken Tag Tournament,85.0,25.0,8.5,117.0
298,Far Cry 4,85.0,83.0,7.7,1653.0
302,Left 4 Dead 2,89.0,76.0,8.6,681.0
303,The Witcher 3: Wild Hunt,92.0,79.0,9.2,10179.0
304,Assassin's Creed: Unity,70.0,40.0,4.9,2050.0
305,Batman: Arkham Knight,87.0,89.0,7.6,2679.0
306,The Legend of Zelda: Skyward Sword,93.0,81.0,8,1958.0
307,Fallout 3,90.0,57.0,8,910.0
308,Professor Layton and the Diabolical Box,84.0,65.0,8.8,72.0
310,EA Sports Active,81.0,27.0,8.7,39.0
311,Tony Hawk's Underground,90.0,38.0,8.7,121.0
312,Monster Hunter 4 Ultimate,86.0,80.0,8.7,348.0
313,The Elder Scrolls V: Skyrim,94.0,32.0,8.1,9073.0
314,NBA 2K16,87.0,51.0,6.7,364.0
315,Tekken 5,88.0,62.0,8.6,229.0
317,MotorStorm,84.0,9.0,7.4,220.0
319,World Soccer Winning Eleven 8 International,91.0,26.0,9.1,38.0
320,Sports Champions,76.0,64.0,7.9,104.0
323,Call of Duty: Ghosts,78.0,49.0,3.7,1564.0
324,Flash Focus: Vision Training in Minutes a Day,59.0,22.0,4,4.0
325,Tom Clancy's The Division,80.0,64.0,7,2219.0
326,Big Brain Academy: Wii Degree,68.0,33.0,6.9,39.0
329,LEGO Indiana Jones: The Original Adventures,77.0,60.0,7.5,66.0
330,The Sims: Unleashed,79.0,21.0,8,29.0
332,Harry Potter and the Sorcerer's Stone,64.0,11.0,7.5,41.0
335,Super Paper Mario,85.0,56.0,7.9,417.0
336,Spyro: Year of the Dragon,91.0,15.0,8.8,207.0
337,Assassin's Creed IV: Black Flag,88.0,36.0,8.1,840.0
338,FIFA Soccer 2005,81.0,27.0,7.6,56.0
341,Tony Hawk's Pro Skater 4,94.0,27.0,8.5,128.0
343,MySims,67.0,15.0,7.3,13.0
344,Midnight Club 3: DUB Edition,74.0,34.0,8.4,31.0
346,SOCOM: U.S. Navy SEALs,82.0,42.0,7.9,82.0
347,Jak and Daxter: The Precursor Legacy,90.0,35.0,8.7,312.0
349,Pro Evolution Soccer 2008,82.0,10.0,7.9,38.0
350,Resident Evil 4,96.0,38.0,8.9,1013.0
351,Guitar Hero: World Tour,86.0,18.0,7.6,71.0
352,FIFA Soccer 10,91.0,56.0,7.6,203.0
353,Star Wars: Battlefront,82.0,36.0,8.7,142.0
355,The Simpsons: Road Rage,64.0,23.0,7.7,32.0
356,Luigi's Mansion,78.0,34.0,8.5,161.0
357,Battlefield 4,85.0,18.0,6.9,1580.0
358,Star Wars: Battlefront II,84.0,30.0,9,268.0
360,Cooking Mama 2: Dinner With Friends,70.0,39.0,8,9.0
363,Grand Theft Auto: Liberty City Stories,78.0,49.0,7.8,112.0
364,The Getaway,72.0,49.0,6.8,88.0
366,James Bond 007: Agent Under Fire,72.0,27.0,7.9,48.0
369,FIFA Soccer 11,88.0,66.0,7.5,155.0
371,Left 4 Dead,89.0,67.0,7.9,1309.0
373,Assassin's Creed: Unity,72.0,59.0,4.1,1005.0
375,Resident Evil 5,83.0,91.0,7.5,523.0
376,Assassin's Creed: Brotherhood,89.0,81.0,8.3,693.0
378,Battlefield 4,80.0,14.0,5.8,579.0
379,Batman: Arkham Asylum,92.0,78.0,8.7,1080.0
380,Battlefield 4,79.0,21.0,5.6,542.0
381,Battlefield: Bad Company 2,88.0,75.0,8.6,869.0
383,Guitar Hero: On Tour,71.0,70.0,8.8,29.0
384,Clubhouse Games,83.0,30.0,8.4,28.0
386,Borderlands,84.0,83.0,8.2,715.0
387,Tekken 4,79.0,23.0,8.3,126.0
389,Grand Theft Auto 2,70.0,15.0,8,67.0
390,Metal Gear Solid V: The Phantom Pain,93.0,86.0,8.2,3943.0
391,Spider-Man 2,80.0,50.0,8.9,106.0
393,FIFA Soccer 2003,88.0,15.0,6.7,35.0
394,LittleBigPlanet 2,91.0,86.0,8.4,657.0
395,Crash Bash,68.0,12.0,8.2,99.0
396,Assassin's Creed Syndicate,76.0,86.0,6.8,1319.0
397,LEGO Batman: The Videogame,76.0,49.0,7.9,75.0
398,Destiny,75.0,11.0,5.5,1735.0
401,Far Cry 3,90.0,32.0,8.5,1041.0
404,James Bond 007: Nightfire,77.0,20.0,8.5,66.0
407,Star Wars Episode III: Revenge of the Sith,60.0,34.0,7.2,82.0
408,The Legend of Zelda: Spirit Tracks,87.0,75.0,7.8,228.0
409,Max Payne,80.0,21.0,8.5,86.0
410,Assassin's Creed IV: Black Flag,86.0,35.0,7.9,701.0
411,The Lord of the Rings: The Return of the King,85.0,31.0,8.7,105.0
413,Gears of War: Ultimate Edition,82.0,74.0,7.5,563.0
414,True Crime: Streets of LA,77.0,39.0,8,94.0
415,Professor Layton and the Unwound Future,86.0,62.0,9.2,111.0
417,FIFA 16,84.0,45.0,4.4,459.0
418,Wii Music,63.0,43.0,4.6,116.0
420,Madden NFL 16,83.0,37.0,5.9,180.0
421,Gran Turismo 6,81.0,81.0,7.7,758.0
422,Halo: The Master Chief Collection,85.0,69.0,7.2,1267.0
424,Super Mario Maker,88.0,85.0,8.7,691.0
429,God of War: Chains of Olympus,91.0,79.0,8.6,565.0
430,Enter the Matrix,62.0,30.0,8.1,137.0
431,Crisis Core: Final Fantasy VII,83.0,67.0,8,463.0
432,Dance Central,82.0,63.0,7.6,85.0
433,L.A. Noire,89.0,78.0,7.7,1010.0
434,Ace Combat 04: Shattered Skies,89.0,22.0,9.1,95.0
435,Animal Crossing,87.0,42.0,8.9,137.0
436,FIFA Soccer 08,83.0,12.0,6.5,36.0
438,Spider-Man,87.0,19.0,9,107.0
439,Mario Party 9,73.0,45.0,6.8,155.0
442,Sonic Rush,82.0,43.0,8.5,101.0
444,Rhythm Heaven,83.0,48.0,9,63.0
445,Fallout: New Vegas,82.0,57.0,7.8,492.0
446,Personal Trainer: Cooking,81.0,12.0,7.8,10.0
447,The Elder Scrolls IV: Oblivion,93.0,45.0,8,604.0
448,The Legend of Zelda: A Link Between Worlds,91.0,81.0,8.9,1057.0
449,Resident Evil 6,74.0,34.0,5.4,1304.0
450,Mass Effect 2,96.0,98.0,8.9,3143.0
451,Dragon Ball Z: Budokai,67.0,28.0,7.9,71.0
452,Madden NFL 2002,94.0,23.0,7.9,46.0
455,The Sims: Vacation,75.0,18.0,7.8,22.0
457,Animal Crossing: Happy Home Designer,66.0,60.0,6.9,106.0
458,The Sims 4,70.0,74.0,3.9,2057.0
459,Borderlands 2,89.0,59.0,8.2,892.0
460,LEGO Batman: The Videogame,72.0,16.0,8,16.0
461,Kung Fu Panda,75.0,42.0,7.4,32.0
462,Mass Effect 3,93.0,74.0,5.8,3725.0
463,Heavy Rain,87.0,107.0,7.7,2759.0
465,Saints Row 2,81.0,75.0,8.1,307.0
466,Tom Clancy's Splinter Cell,93.0,46.0,8.5,121.0
469,FIFA 14,87.0,26.0,6.3,616.0
470,Killzone 2,91.0,94.0,8.1,1505.0
471,Far Cry 3,91.0,39.0,8.6,1247.0
472,Epic Mickey,73.0,78.0,7,131.0
473,NBA 2K13,88.0,41.0,7.2,131.0
474,Dragon Ball Z: Budokai Tenkaichi 3,73.0,24.0,9.2,173.0
